num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1
500 1.0 124750 10000 10501 0.0126055 3.29266 0.0454367
500 1.0 124750 10000 21154 0.0102515 2.8036 0.0485652
500 1.0 124750 10000 22572 0.00806248 2.78749 0.0484047
500 1.0 124750 10000 27775 0.00932117 2.69618 0.0591137
500 1.0 124750 10000 28112 0.00724777 2.43767 0.0423661
500 1.0 124750 10000 28958 0.00757831 2.65687 0.0487816
500 1.0 124750 10000 29137 0.0075425 2.93933 0.0424196
500 1.0 124750 10000 7377 0.00741879 2.67352 0.0496253
500 1.0 124750 10000 9418 0.00792768 2.55123 0.0485597
500 1.0 124750 10000 9792 0.00894499 2.98958 0.0554051
500 1.0 124750 100 1002 0.017287 2.80616 0.0717636
500 1.0 124750 100 17189 0.011771 3.00889 0.0503871
500 1.0 124750 100 19369 0.00963092 2.711 0.0893678
500 1.0 124750 100 21545 0.00758479 2.78549 0.042208
500 1.0 124750 100 23404 0.0086246 2.83545 0.0501478
500 1.0 124750 100 24891 0.0081769 2.67517 0.0473893
500 1.0 124750 100 2675 0.0107555 2.73338 0.0514995
500 1.0 124750 100 3965 0.00748595 2.68769 0.0529605
500 1.0 124750 100 5179 0.00880963 2.82932 0.048989
500 1.0 124750 100 8438 0.00846477 2.88101 0.0601763
500 1.0 124750 1420 15891 0.00825294 2.69353 0.0624815
500 1.0 124750 1420 19468 0.00714182 2.69881 0.030657
500 1.0 124750 1420 19683 0.00788398 2.83425 0.059396
500 1.0 124750 1420 20731 0.00823226 2.48461 0.0434892
500 1.0 124750 1420 24348 0.00987137 2.84159 0.0577099
500 1.0 124750 1420 2474 0.0102409 2.67539 0.0491326
500 1.0 124750 1420 25086 0.00909868 2.48149 0.0486901
500 1.0 124750 1420 27845 0.00841969 2.68241 0.0564964
500 1.0 124750 1420 30992 0.00874707 2.95511 0.0536567
500 1.0 124750 1420 535 0.00884884 3.19964 0.0473081
500 1.0 124750 2080 17002 0.00868889 2.91557 0.0471029
500 1.0 124750 2080 17259 0.00810047 2.41149 0.0376413
500 1.0 124750 2080 19030 0.00867479 2.63778 0.0577555
500 1.0 124750 2080 20833 0.00826559 3.15244 0.0446843
500 1.0 124750 2080 22895 0.00900489 2.93647 0.0425667
500 1.0 124750 2080 25601 0.00720387 2.85606 0.0473778
500 1.0 124750 2080 28886 0.00850803 3.30048 0.0383999
500 1.0 124750 2080 30293 0.00723009 2.95662 0.0450772
500 1.0 124750 2080 758 0.00713432 2.64544 0.0695637
500 1.0 124750 2080 8660 0.00908412 3.12128 0.0406353
500 1.0 124750 2740 10593 0.0133591 2.49681 0.0609606
500 1.0 124750 2740 17966 0.00920817 2.87236 0.0422105
500 1.0 124750 2740 20488 0.0146095 2.97174 0.0638747
500 1.0 124750 2740 26308 0.00920687 2.22906 0.0498332
500 1.0 124750 2740 26550 0.00726705 2.6925 0.0483797
500 1.0 124750 2740 27378 0.00753092 2.71642 0.0476743
500 1.0 124750 2740 29461 0.00888668 2.87492 0.0510653
500 1.0 124750 2740 31908 0.00819412 3.115 0.0416299
500 1.0 124750 2740 5018 0.00849943 2.42851 0.04121
500 1.0 124750 2740 8842 0.00904055 2.69553 0.0422555
500 1.0 124750 3400 10133 0.00726429 2.45691 0.0595583
500 1.0 124750 3400 1110 0.00904402 2.98251 0.0389648
500 1.0 124750 3400 14257 0.00909773 2.51544 0.0500654
500 1.0 124750 3400 24580 0.00985356 3.0266 0.0694624
500 1.0 124750 3400 24833 0.00721121 2.62012 0.0490263
500 1.0 124750 3400 29904 0.00814529 2.73246 0.0473053
500 1.0 124750 3400 31333 0.00898192 2.72724 0.0433262
500 1.0 124750 3400 7012 0.00838533 2.97278 0.0657911
500 1.0 124750 3400 7076 0.00777766 2.7757 0.0574957
500 1.0 124750 3400 8406 0.00847473 3.20138 0.050852
500 1.0 124750 4060 13819 0.00726095 2.46085 0.0350823
500 1.0 124750 4060 18752 0.00765326 2.5976 0.0413931
500 1.0 124750 4060 21350 0.00923291 2.93437 0.0543435
500 1.0 124750 4060 24163 0.00791542 2.65496 0.0393225
500 1.0 124750 4060 25875 0.00862124 2.91804 0.0418666
500 1.0 124750 4060 2772 0.00873342 2.64473 0.06337
500 1.0 124750 4060 28150 0.00791357 2.87199 0.0470112
500 1.0 124750 4060 5259 0.00850294 2.79271 0.0533555
500 1.0 124750 4060 6390 0.00990292 2.61946 0.0621583
500 1.0 124750 4060 8513 0.00837028 2.95114 0.0430329
