num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1
400 0.1 7952 100 13078 0.0017307 0.0160707 0.00485846
400 0.1 7972 100 21902 0.00156175 0.0130093 0.00604614
400 0.1 8006 100 4232 0.000884273 0.00860955 0.00286438
400 0.2 16066 100 1759 0.00171809 0.0185968 0.00446926
400 0.2 15918 100 24293 0.000748872 0.00685 0.00376078
400 0.2 15786 100 27965 0.00178499 0.02174 0.00553868
400 0.3 23924 100 16223 0.00274097 0.0550451 0.0071648
400 0.3 23921 100 21060 0.00195599 0.0243093 0.00542874
400 0.3 23684 100 21279 0.0020342 0.0367741 0.00707254
400 0.4 31864 100 15727 0.0012455 0.0401518 0.00469067
400 0.4 32033 100 2164 0.00438283 0.0834356 0.0097702
400 0.4 31981 100 2255 0.00160455 0.0798709 0.00691914
400 0.5 40108 100 11286 0.00301689 0.0996785 0.0116095
400 0.5 39946 100 22983 0.00258208 0.121022 0.006315
400 0.5 40014 100 304 0.00116338 0.0813835 0.00715244
400 0.6 48015 100 17003 0.00189701 0.104896 0.00793652
400 0.6 47872 100 32732 0.00157187 0.135663 0.00919768
400 0.6 47858 100 7105 0.00247112 0.122552 0.00933966
400 0.7 55843 100 12247 0.00305327 0.213749 0.0122325
400 0.7 56034 100 14309 0.00245542 0.200137 0.0135224
400 0.7 55813 100 28517 0.00335311 0.198817 0.00912736
400 0.8 64068 100 1366 0.0048873 0.376557 0.019135
400 0.8 63800 100 31814 0.00247607 0.318758 0.0137056
400 0.8 63672 100 4772 0.00346697 0.265028 0.0168232
400 0.9 71836 100 12361 0.00324038 0.412148 0.0143015
400 0.9 71730 100 2220 0.00308324 0.400447 0.0132913
400 0.9 71817 100 26610 0.00296128 0.298145 0.015455
400 1.0 79800 100 20479 0.00239053 0.515604 0.0150138
400 1.0 79800 100 30939 0.00302657 0.362163 0.014272
400 1.0 79800 100 31419 0.00351138 0.45487 0.0161771
