num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1 dinic2 ek2 mpm2 dinic3 ek3 mpm3
1000 0.1 50253 100 14844 0.00906162 0.209821 0.0423103 0.00815923 0.220635 0.0426417 0.00835667 0.216757 0.0426935
1000 0.1 50331 100 21219 0.0135085 0.160145 0.0733454 0.0141096 0.133797 0.07232 0.0137391 0.136807 0.0755015
1000 0.1 50092 100 23101 0.00946941 0.175783 0.0579874 0.0101714 0.17522 0.0419838 0.00899353 0.166656 0.042036
1000 0.2 99518 100 19654 0.0161186 0.435149 0.0473815 0.0169555 0.407666 0.0469534 0.0165937 0.442882 0.0468788
1000 0.2 100026 100 24514 0.0288035 0.873592 0.0795873 0.0254467 0.862793 0.079028 0.0255655 0.864147 0.0802326
1000 0.2 99984 100 9250 0.0266671 0.876055 0.0599727 0.0228923 0.864463 0.060338 0.0246829 0.866664 0.0600333
1000 0.3 149810 100 25911 0.0524367 2.02498 0.093639 0.0521461 2.05291 0.0968019 0.0513347 2.0622 0.0934795
1000 0.3 149460 100 29967 0.0207751 0.546728 0.0638111 0.0152551 0.587388 0.0646781 0.0153013 0.562591 0.0652125
1000 0.3 149620 100 3631 0.0621116 2.04271 0.106281 0.0586842 2.10077 0.106526 0.0602001 2.06682 0.106361
1000 0.4 199713 100 21049 0.0532973 2.06921 0.0957066 0.0429966 2.01212 0.0956621 0.0452869 2.03338 0.0953222
1000 0.4 199827 100 24368 0.0304323 2.06618 0.12516 0.0317899 2.05081 0.12004 0.0302331 2.05756 0.122828
1000 0.4 199593 100 5750 0.0134024 1.29085 0.0591398 0.0133137 1.33496 0.055842 0.0125272 1.33213 0.0710898
1000 0.5 249904 100 12349 0.0274075 4.66975 0.08768 0.0289846 4.77603 0.0880518 0.0274713 4.7098 0.088031
1000 0.5 249394 100 16554 0.0354493 5.52945 0.0831187 0.0352908 5.52709 0.0769938 0.0349574 5.59315 0.0776889
1000 0.5 249676 100 23079 0.0277383 4.52128 0.0903679 0.027685 4.64499 0.0909848 0.0286675 4.6231 0.0908666
1000 0.6 299640 100 11696 0.026334 6.1526 0.135283 0.0265311 6.1029 0.136519 0.0245423 6.18494 0.142352
1000 0.6 299771 100 23446 0.0166906 6.38072 0.161556 0.0164824 6.3249 0.169509 0.016532 6.32808 0.161557
1000 0.6 299549 100 30113 0.0344306 8.27638 0.165886 0.0333454 8.35795 0.178093 0.0328531 8.18645 0.165533
1000 0.7 349775 100 149 0.0439483 10.3742 0.163153 0.0424148 10.3282 0.176607 0.0426749 10.3145 0.162717
1000 0.7 349005 100 17428 0.0320953 12.2453 0.161796 0.031026 12.423 0.166345 0.0311124 12.2493 0.161105
1000 0.7 349674 100 32570 0.0607221 11.4905 0.166988 0.0568059 11.4803 0.166818 0.0566288 11.5414 0.177548
1000 0.8 399289 100 15489 0.0285298 13.4611 0.158808 0.0275696 13.5094 0.158044 0.0273278 13.3982 0.177022
1000 0.8 399751 100 2672 0.0358083 16.6337 0.150607 0.0350221 16.6953 0.151779 0.0349174 16.3657 0.149265
1000 0.8 399494 100 31725 0.0471573 17.0201 0.185462 0.0426751 17.0131 0.180142 0.0424618 17.0145 0.18285
1000 0.9 449519 100 21087 0.0322883 17.5363 0.197716 0.0311011 17.5583 0.188182 0.0310373 17.631 0.185717
1000 0.9 449588 100 29377 0.0645208 20.6102 0.25276 0.0629821 20.4391 0.269934 0.0624614 20.6735 0.249295
1000 0.9 449780 100 5340 0.028281 18.1406 0.186949 0.0272242 18.0066 0.187054 0.0291478 18.0019 0.184066
