num_verts prob_arc num_arcs max_cap seed dinic1 ek1 mpm1
1000 0.5 250362 100 2393 0.0586637 6.05565 0.12554
100 0.5 2475 100 22459 8.0488e-05 0.000577731 0.000339772
1100 0.5 302145 100 12043 0.0278107 7.30671 0.182356
1200 0.5 359824 100 28031 0.052649 8.60672 0.193371
1300 0.5 422448 100 5440 0.0802634 16.813 0.225946
1400 0.5 489798 100 9159 0.257188 20.263 0.571553
1500 0.5 561657 100 16639 0.15064 18.7641 0.375282
1600 0.5 640361 100 27735 0.300767 35.0299 0.540491
1700 0.5 721629 100 2572 0.091975 34.0864 0.416768
1800 0.5 810753 100 30378 0.0964224 26.6531 0.623497
1900 0.5 902389 100 26306 0.132004 40.7742 0.789331
2000 0.5 1000378 100 4395 0.228182 49.1843 1.05146
200 0.5 9961 100 9935 0.000769076 0.0149195 0.00161172
300 0.5 22568 100 4376 0.00123014 0.0302539 0.00467961
400 0.5 39510 100 9575 0.0111441 0.144775 0.0129808
500 0.5 62228 100 19227 0.0040821 0.221938 0.0167924
600 0.5 89813 100 8370 0.0119558 0.688526 0.030478
700 0.5 122211 100 25769 0.0263275 1.47051 0.0534577
800 0.5 159847 100 17000 0.0179111 2.12812 0.0894839
900 0.5 201602 100 16387 0.0184435 2.37668 0.0899239
