num_verts prob_arc max_cap seed dinic1 ek1 mpm1
1000 0.5 100 2393 0.0467136 4.70599 0.11053
100 0.5 100 22459 7.8663e-05 0.000567361 0.000305396
1100 0.5 100 12043 0.0265084 5.87637 0.156723
1200 0.5 100 28031 0.0468926 7.18048 0.173889
1300 0.5 100 5440 0.0697663 14.0537 0.195917
1400 0.5 100 9159 0.208599 17.6613 0.46325
1500 0.5 100 16639 0.146653 16.1715 0.315828
1600 0.5 100 27735 0.246622 31.3112 0.48012
1700 0.5 100 2572 0.0561657 30.9125 0.322329
1800 0.5 100 30378 0.0808525 23.6987 0.524684
1900 0.5 100 26306 0.117671 36.6359 0.65989
2000 0.5 100 4395 0.201588 45.076 0.909111
200 0.5 100 9935 0.000757282 0.014714 0.00158136
300 0.5 100 4376 0.00119486 0.0275759 0.00455026
400 0.5 100 9575 0.00542821 0.129344 0.0123671
500 0.5 100 19227 0.00382761 0.182786 0.0132522
600 0.5 100 8370 0.00958334 0.502443 0.0258916
700 0.5 100 25769 0.0182031 0.916071 0.0408414
800 0.5 100 17000 0.0152532 1.40223 0.0685019
900 0.5 100 16387 0.0158727 1.65528 0.0869631
